REF_DATE,GEO,DGUID,Industry,Sector,Variable,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1946,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,227,,,,0
1947,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,234,,,,0
1948,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,154,,,,0
1949,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,135,,,,0
1950,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,161,,,,0
1951,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,258,,,,0
1952,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,219,,,,0
1953,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,173,,,,0
1954,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,173,,,,0
1955,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,159,,,,0
1956,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,229,,,,0
1957,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,245,,,,0
1958,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,258,,,,0
1959,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,216,,,,0
1960,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,274,,,,0
1961,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,287,,,,0
1962,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,311,,,,0
1963,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,332,,,,0
1964,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,343,,,,0
1965,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,502,,,,0
1966,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,617,,,,0
1967,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,522,,,,0
1968,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,581,,,,0
1969,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,597,,,,0
1970,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,544,,,,0
1971,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,569,,,,0
1972,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,598,,,,0
1973,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,724,,,,0
1974,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1217,,,,0
1975,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1170,,,,0
1976,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1040,,,,0
1977,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,806,,,,0
1978,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1057,,,,0
1979,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1049,,,,0
1980,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1028,,,,0
1981,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,1049,,,,0
1982,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,679,,,,0
1983,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,645,,,,0
1984,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,716,,,,0
1985,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,829,,,,0
1986,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,748,,,,0
1987,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,667,,,,0
1988,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,548,,,,0
1989,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,627,,,,0
1990,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,579,,,,0
1991,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,463,,,,0
1992,Canada,2016A000011124,All industries,All sectors,Number of work stoppages,Number,223,units,0,v108829328,1.1.1.1,404,,,,0
